CATEGORY,使用門號數
10 新首頁,110944
132 快速繳款,42249
122 門號合約資訊,24710
1311 本期帳單查詢,19470
優惠券成效統計,16760
131 帳單查詢,16581
13211 信用卡繳款結果,16572
換頁點擊來源統計,13166
文件下載率,11651
1312 歷史帳單查詢,11520
137 APP繳款紀錄查詢,11436
C2 5G,10698
13G 代收代付服務,10157
1323 BarCode條碼繳費,9480
1321 信用卡繳款,8979
2B 文字客服,8533
1322 活期帳戶繳款,8085
13221 活期帳戶繳款確認,7578
36 優惠券,7441
121 查詢已申裝服務,6925
132211 活期帳戶繳款結果,6899
123 基本服務設定,5525
15 加值服務,5027
143 行動網路測速,4409
22 基本資料查詢,4279
135 國內數據用量查詢,3635
13D 自動轉帳代繳,3455
13B 電子發票查詢,3215
124 加值服務內容,3188
1241 加值服務內容,3186
16 新增&切換門號,3148
13D2 自動轉帳代繳條款,2825
361 優惠券明細,2499
2F 登出,2446
46 主要資費,2244
13D21 申請自動轉帳代繳,2073
Google/Apple電信帳單代收,2073
138 帳單明細(單次),2045
11 門號設定,1973
136 帳單明細(每月),1944
144 我的收訊反應,1852
13D1 查詢自動轉帳代繳,1796
1324 GtPay行動支付繳費,1727
361 優惠券詳細,1725
13C 最適資費,1585
13E51 額度查詢/購買額度,1574
加值服務內容,1562
13E4 信用卡授權,1549
463 壹網打勁,1501
13B1 電子發票列表,1457
13 帳單及繳款,1374
1313 ATM繳費帳號查詢,1208
45 上網設定,1195
42 iPhone專區,1089
13D211 自動轉帳代繳結果,1039
31 最新優惠,1006
29 刪除門號綁定,993
1314 繳費方式說明,982
13A 快速復話,940
13E31 小額付費申請,893
13E12 Google Play交易紀錄查詢,831
13E22 iTunes&App Store交易紀錄查詢,831
13F 無紙化帳單,818
139 信用卡效期展延,812
13E221 iTunes&App Store交易查詢明細,800
241 一般訊息明細,783
13B11 電子發票明細,778
13E121 Google Play交易查詢明細,762
13G1 代收代付密碼設定,762
XLAND,727
2A 網內外門號查詢,695
1231 國內數據用量提醒,668
Gt鈴聲+30M送2M(Q),638
Gt TV雙館4G促案綁約30M(Q),620
13D212 扣款授權,614
27 申辦證件說明,593
452 Android設定,586
1211 PUK碼說明,574
21 線上申辦/續約,545
33 門市DM,541
小額付費,538
13G2 代收代付額度管理,504
13E311 小額付費申請結果,502
5 智慧生活,491
221 帳單地址修改,490
13E 額度查詢/釋放,485
2211 基本資料修改結果,455
123 上網加價購,438
1381 帳單明細(單次)明細申請確認,429
35 購機優惠,406
451 iPhone設定,398
Gt鈴聲 30M送2M(Q),370
13811 帳單明細(單次)明細申請結果,363
線上續約,356
payment-payRule 繳費方式說明,346
24 推播訊息列表,344
41 手機/平板專區,343
13A1 快速復話申請結果,341
申請服務成功率,341
222 聯絡電話修改,332
2D 滿意度調查,331
Gt TV隨選館5G促案綁約36M優惠(Q),288
13F 電子帳單設定,284
1232 指定轉接,277
26 門市查詢,273
Gt TV隨選館5G促案綁約30M優惠(Q),267
13E33 小額付費交易紀錄查詢,258
151 影音娛樂,257
13F 簡訊帳單設定,254
CATCHPLAY+促案綁約30M優惠(Q),247
1234 多方通話,247
2E 快速登入管理,247
CATCHPLAY+促案綁約36M優惠(Q),233
A GtVIP,233
13E32 null額度查詢/購買額度,222
13E331 小額付費交易查詢明細,221
來電答鈴促案綁約30M優惠(R),219
1361 帳單明細(每月)明細申請確認,219
1233 查詢語音信箱,208
C1 行動支付,200
28 版本資訊,197
NP用戶語音宣告(免費服務到期後自動關閉),192
24 推播訊息列表_個人訊息,186
1391 信用卡效期展延,176
34 預付卡優惠,173
來電答鈴促案綁約24M優惠(R),169
261 離我最近查詢,164
271 本國人(成年),153
CATCHPLAY+促案綁約24M優惠(Q),152
6 國際漫遊,150
Gt TV隨選館5G促案綁約24M優惠(Q),148
151 新春祈福招財,147
43 手機保固說明,144
CATCHPLAY 促案綁約30M優惠(Q),144
13E22 iTunes,143
13E32 小額付費額度查詢/購買額度,143
151 便利生活,142
13611 帳單明細(每月)明細申請結果,138
13F31 電子帳單服務協定,137
151 音樂鈴聲,134
13F31 簡訊帳單服務協定,133
13E221 iTunes,130
9 停車費代收,124
CATCHPLAY 促案綁約36M優惠(Q),124
來電答鈴促案綁約12M優惠(R),118
Gt TV隨選館5G促案綁約30M優惠(R),115
13F31 電子帳單申請狀態,112
23 修改手勢,110
經典任選多選一_24M(R),109
來電答鈴促案綁約36M優惠(R),109
13F3 電子帳單,108
262 指定地點查詢,107
Gt TV隨選館5G促案綁約36M優惠(R),96
經典任選多選一_12M(R),95
26 門市查詢門市點閱率,90
CATCHPLAY+促案綁約30M優惠(R),88
來電答鈴24M送2M(Q),86
151 玩社群,85
13F3 取消簡訊帳單,84
51 新上架服務,79
13F31 簡訊帳單申請狀態,79
2621 指定地點列表,77
13E32 iTunes&App Store額度查詢/購買額度,76
560來電答鈴_30M(R),75
CATCHPLAY 促案綁約30M優惠(R),74
豪華特選多選一_30M(R),73
CATCHPLAY+促案綁約36M優惠(R),73
13F3 簡訊帳單,71
1232 指定轉接撥號,68
Gt TV隨選館4G促案綁約24M(Q),67
CATCHPLAY 促案綁約24M優惠(Q),65
151 影音學習,64
2611 最近地圖,58
13E32 Google Play額度查詢/購買額度,58
KKBOX無損音質促案綁約36M優惠(Q),57
242 推播設定,56
CATCHPLAY 促案綁約36M優惠(R),53
1233 查詢語音信箱撥號,48
經典任選多選一_30M(R),46
151 閱讀漫畫,44
44 維修進度查詢,44
來電答鈴36M送2M(Q),42
21 線上申辦撥號,40
