CATEGORY,使用年月,使用門號數
優惠券成效統計,202101,161613
10 新首頁,202101,133102
132 快速繳款,202101,89157
131 帳單查詢,202101,88063
1311 本期帳單查詢,202101,75132
122 門號合約資訊,202101,60862
文件下載率,202101,40945
13211 信用卡繳款結果,202101,38731
36 優惠券,202101,38286
換頁點擊來源統計,202101,38105
10 新首頁,202102,160716
132 快速繳款,202102,87842
131 帳單查詢,202102,78600
1311 本期帳單查詢,202102,63771
優惠券成效統計,202102,62553
122 門號合約資訊,202102,59347
文件下載率,202102,40357
13211 信用卡繳款結果,202102,37572
換頁點擊來源統計,202102,36936
36 優惠券,202102,13839
優惠券成效統計,202103,191944
10 新首頁,202103,167768
132 快速繳款,202103,93567
131 帳單查詢,202103,82240
1311 本期帳單查詢,202103,66777
122 門號合約資訊,202103,63174
文件下載率,202103,41502
13211 信用卡繳款結果,202103,40348
36 優惠券,202103,40025
換頁點擊來源統計,202103,39673
10 新首頁,202104,173159
132 快速繳款,202104,92592
131 帳單查詢,202104,76643
優惠券成效統計,202104,68209
1311 本期帳單查詢,202104,61343
122 門號合約資訊,202104,59794
文件下載率,202104,39523
13211 信用卡繳款結果,202104,39389
換頁點擊來源統計,202104,38284
36 優惠券,202104,15644
10 新首頁,202105,187346
132 快速繳款,202105,108619
131 帳單查詢,202105,82951
1311 本期帳單查詢,202105,66509
122 門號合約資訊,202105,62662
優惠券成效統計,202105,56898
13211 信用卡繳款結果,202105,48925
換頁點擊來源統計,202105,46754
文件下載率,202105,41582
36 優惠券,202105,13188
優惠券成效統計,202106,218778
10 新首頁,202106,188269
132 快速繳款,202106,113326
131 帳單查詢,202106,94304
1311 本期帳單查詢,202106,77047
122 門號合約資訊,202106,68001
36 優惠券,202106,51053
13211 信用卡繳款結果,202106,49559
換頁點擊來源統計,202106,48644
文件下載率,202106,47707
10 新首頁,202107,200463
132 快速繳款,202107,118134
131 帳單查詢,202107,91670
優惠券成效統計,202107,82803
1311 本期帳單查詢,202107,74144
122 門號合約資訊,202107,67249
13211 信用卡繳款結果,202107,52847
換頁點擊來源統計,202107,51196
文件下載率,202107,48079
36 優惠券,202107,18953
10 新首頁,202108,211822
132 快速繳款,202108,121100
優惠券成效統計,202108,92070
131 帳單查詢,202108,87203
1311 本期帳單查詢,202108,75634
122 門號合約資訊,202108,73315
13211 信用卡繳款結果,202108,52062
文件下載率,202108,48574
換頁點擊來源統計,202108,48075
36 優惠券,202108,33667
優惠券成效統計,202109,233863
10 新首頁,202109,213460
132 快速繳款,202109,125525
122 門號合約資訊,202109,76291
1311 本期帳單查詢,202109,70409
131 帳單查詢,202109,69574
36 優惠券,202109,68165
13211 信用卡繳款結果,202109,53761
換頁點擊來源統計,202109,46161
文件下載率,202109,45927
優惠券成效統計,202110,234046
10 新首頁,202110,213141
132 快速繳款,202110,126020
36 優惠券,202110,81853
122 門號合約資訊,202110,76877
1311 本期帳單查詢,202110,68692
131 帳單查詢,202110,62063
13211 信用卡繳款結果,202110,53783
文件下載率,202110,45571
換頁點擊來源統計,202110,45434
優惠券成效統計,202111,236923
10 新首頁,202111,217773
132 快速繳款,202111,129968
36 優惠券,202111,84670
122 門號合約資訊,202111,80221
1311 本期帳單查詢,202111,69080
131 帳單查詢,202111,59553
13211 信用卡繳款結果,202111,55786
換頁點擊來源統計,202111,46761
文件下載率,202111,46632
優惠券成效統計,202112,237796
10 新首頁,202112,221075
132 快速繳款,202112,131658
122 門號合約資訊,202112,73044
36 優惠券,202112,68878
1311 本期帳單查詢,202112,67662
131 帳單查詢,202112,58896
13211 信用卡繳款結果,202112,55940
換頁點擊來源統計,202112,46547
文件下載率,202112,45830
優惠券成效統計,202201,242166
10 新首頁,202201,223009
132 快速繳款,202201,133730
122 門號合約資訊,202201,76347
36 優惠券,202201,75821
1311 本期帳單查詢,202201,68179
131 帳單查詢,202201,56755
13211 信用卡繳款結果,202201,56496
換頁點擊來源統計,202201,47104
文件下載率,202201,45140
10 新首頁,202202,225235
優惠券成效統計,202202,224287
132 快速繳款,202202,132403
36 優惠券,202202,77504
122 門號合約資訊,202202,76041
1311 本期帳單查詢,202202,68474
131 帳單查詢,202202,56589
13211 信用卡繳款結果,202202,54981
文件下載率,202202,45925
換頁點擊來源統計,202202,45379
優惠券成效統計,202203,263411
10 新首頁,202203,243244
132 快速繳款,202203,143259
122 門號合約資訊,202203,87905
36 優惠券,202203,73690
1311 本期帳單查詢,202203,72103
13211 信用卡繳款結果,202203,60100
131 帳單查詢,202203,59956
換頁點擊來源統計,202203,50415
文件下載率,202203,48274
10 新首頁,202204,240107
優惠券成效統計,202204,197587
132 快速繳款,202204,142675
122 門號合約資訊,202204,78823
1311 本期帳單查詢,202204,69650
36 優惠券,202204,63787
13211 信用卡繳款結果,202204,59667
131 帳單查詢,202204,58144
換頁點擊來源統計,202204,49312
文件下載率,202204,45336
10 新首頁,202205,254702
優惠券成效統計,202205,231635
132 快速繳款,202205,153813
122 門號合約資訊,202205,82660
1311 本期帳單查詢,202205,72968
13211 信用卡繳款結果,202205,66276
131 帳單查詢,202205,58947
換頁點擊來源統計,202205,52587
36 優惠券,202205,51457
文件下載率,202205,46551
