開通年月,銷售點,開通數,首登年月,首登門號數,當月開通首登APP佔比(%)
202111,專案通路,6459,202111,2283,35.3
202111,代理商/連鎖門市,3063,202111,1077,35.2
202111,電話行銷,2838,202111,672,23.7
202111,直營門市,6058,202111,1529,25.2
202111,一般經銷商,696,202111,311,44.7
202111,加盟服務中心,4889,202111,1641,33.6
202112,加盟服務中心,5144,202112,1707,33.2
202112,專案通路,5902,202112,2091,35.4
202112,一般經銷商,655,202112,295,45.0
202112,電話行銷,2952,202112,864,29.3
202112,直營門市,6031,202112,1539,25.5
202112,代理商/連鎖門市,3194,202112,1152,36.1
202201,專案通路,5597,202201,1967,35.1
202201,代理商/連鎖門市,3381,202201,1329,39.3
202201,直營門市,5521,202201,1345,24.4
202201,加盟服務中心,4997,202201,1702,34.1
202201,一般經銷商,790,202201,367,46.5
202201,電話行銷,2735,202201,785,28.7
202202,電話行銷,2556,202202,761,29.8
202202,一般經銷商,1153,202202,536,46.5
202202,代理商/連鎖門市,2973,202202,1258,42.3
202202,加盟服務中心,4448,202202,1662,37.4
202202,專案通路,5968,202202,1979,33.2
202202,直營門市,4251,202202,1123,26.4
202203,加盟服務中心,7136,202203,2868,40.2
202203,一般經銷商,2433,202203,1114,45.8
202203,直營門市,5942,202203,1652,27.8
202203,代理商/連鎖門市,5720,202203,2491,43.5
202203,專案通路,9385,202203,3603,38.4
202203,電話行銷,3696,202203,1056,28.6
202204,代理商/連鎖門市,5321,202204,2469,46.4
202204,專案通路,1655,202204,565,34.1
202204,直營門市,4690,202204,1275,27.2
202204,電話行銷,2415,202204,662,27.4
202204,一般經銷商,2241,202204,1133,50.6
202204,加盟服務中心,6423,202204,2544,39.6
202205,直營門市,4742,202205,1242,26.2
202205,一般經銷商,2079,202205,1105,53.2
202205,代理商/連鎖門市,4812,202205,2171,45.1
202205,加盟服務中心,6324,202205,2553,40.4
202205,電話行銷,2182,202205,604,27.7
202205,專案通路,1166,202205,393,33.7
